Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node is sending a message. | Type: Sending. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node received a message. | Type: Receiving. 
Message: UDP node is sending a message. | Type: Sending. 
Message: UDP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node received a termination confirmation. | Type: Receiving. 
Message: TCP node received a terminating notification. | Type: Receiving. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node is sending a message. | Type: Sending. 
Message: TCP node received a termination confirmation. | Type: Receiving. 
Message: TCP node received a termination confirmation. | Type: Receiving. 
Message: PseudoTCP node is sending a message. | Type: Sending. 
